35679,16848960,8,140,114,133,185,0,0,0,255
35690,16849024,7,248,17,48,182,152,127,16,255
35705,16848960,8,140,114,133,185,0,0,0,255
35931,16849024,1,56,114,0,0,0,0,0,0
35951,16848960,8,140,114,133,185,0,0,0,255
36397,16848960,8,140,115,5,185,0,0,0,255
37391,16848960,8,140,115,133,185,0,0,0,255
37523,16849024,7,212,98,202,182,152,127,16,255
37543,16848960,8,140,115,133,185,0,0,0,255
38028,16849024,1,56,115,0,0,0,0,0,0
38053,16848960,8,140,115,133,185,0,0,0,255
38075,16849024,7,212,98,202,182,152,127,16,255
38096,16848960,8,140,115,133,185,0,0,0,255
38396,16848960,8,140,116,5,185,0,0,0,255
39396,16848960,8,140,116,133,185,0,0,0,255
40379,16848960,8,140,117,5,185,0,0,0,255
41383,16848960,8,140,117,133,185,0,0,0,255
42386,16848960,8,140,118,5,185,0,0,0,255
43389,16848960,8,140,118,133,185,0,0,0,255
